id,bu,month,year,value,created_at,updated_at
"a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d","expansao","Jan",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e","expansao","Fev",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"c3d4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f","expansao","Mar",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a","reativacao","Jan",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b","reativacao","Fev",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c","reativacao","Mar",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d","hunter","Jan",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"b8c9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e","hunter","Fev",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f","hunter","Mar",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"d0e1f2a3-b4c5-4d6e-7f8a-9b0c1d2e3f4a","inbound","Jan",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a5b","inbound","Fev",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
"f2a3b4c5-d6e7-4f8a-9b0c-1d2e3f4a5b6c","inbound","Mar",2026,0,"2025-01-03T12:00:00+00:00","2025-01-03T12:00:00+00:00"
